case Elements Efficiency Hemolysis PressureDrop rotationSpeed lastZresidual
C01 980470     4.802061e-04
C02      
C03      
C04      
C05      
C06      
C07      
C08      
C09      
C10      
M01 1003230 0.42458224493218544 6.62720438040783E-7 13239.632321637624 222.32639977274923 1.581833e-03
M02 1010614 0.4594185180762206 6.111573413532701E-7 13385.53585776343 217.2474930556931 8.630339e-04
M03 1043450 0.45364948080272105 6.044952170857777E-7 13211.03578741169 217.1528568429951 1.544778e-03
M04 1050954 0.45448853038360715 6.035516799849381E-7 13276.623932954637 217.51099427243162 4.874325e-04
M05 1097442 0.4571514789547278 6.078036870457316E-7 13359.911238135122 217.56977263038783 8.468995e-04
M06 1121588 0.4580131137666389 6.03302932390629E-7 13360.085470939734 217.37376980838795 7.370321e-04
M07 1139452 0.45963849714777527 6.052879549406621E-7 13402.388315513836 217.39774060744767 7.392767e-04
M08 1270592 0.4461944002134986 5.94548000154924E-7 12874.69517661112 216.17163485575804 1.799048e-03
M09 1447788 0.46255362228836644 5.861231486643819E-7 13317.521437032852 215.94875538372784 2.390225e-03
M10 1524142 0.32070003620810006 2.669326401304209E-7 3701.1645725697235 137.19075775146484 4.558975e-04
M11 1663328 0.46082312552991117 6.226592466258286E-7 13325.059220208424 216.4554438350023 6.439324e-04
M12 1736874 0.44128789712162264 7.09309448577961E-7 14994.204124948425 231.81449330286142 1.671670e-03
M13 1962080 0.4644047021991197 5.97933017325059E-7 13388.333732825622 216.1478702307519 7.411291e-04
M14 2096976 0.46647214286149186 6.152335548699203E-7 13419.404151543806 215.96064093623667 4.070403e-04
M15 2211682 0.46623105993370567 5.885325701162664E-7 13390.38255772443 215.89059925415157 3.706892e-04
M16 2353304 0.3994588133916634 6.592714359351342E-7 12018.614908433734 218.53621208509668 4.678617e-03
M17 2611728     
M18 2674926     
M19 2883732     
M20 2950062     
