,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),volute_constructor_parameter(-),volsp,outer_disk_radius(mm),inner_disk_radius(mm)
200,1,0.4508565261538753,4.747258531e-07,0.4174322350264608,0.1790734805495892,0.3531572474888072,25.0,5.0
201,1,0.2615848884928484,1.2863601634e-06,1.6,0.2057377782924363,0.5741865025112348,25.0,5.0
202,1,0.3331371879015636,6.393297113e-07,1.2000000000000002,0.3305914719129865,1.0391315169009876,25.0,5.0
203,1,0.2813933751290955,7.877024856e-07,1.5500000000000005,0.2822147953578744,1.2389934830990126,25.0,5.0
204,1,0.2405537242848651,9.611618409e-07,1.547850029421146,0.3988863108652249,0.2170597037866541,25.0,5.0
205,1,0.3236607662656638,6.733922146e-07,1.3,0.3599004661748327,1.05175028912172,25.0,5.0
206,1,0.2838679303838547,1.4070135951e-06,0.8437878381541639,0.077482516802837,0.6046874999999999,25.0,5.0
207,1,0.3223801091101607,6.092446199e-07,1.125,0.2476518457516783,0.8978365551635952,25.0,5.0
208,1,0.2480805167779115,1.3308846581e-06,0.570203610894357,0.4744172855062034,1.19529560152494,25.0,5.0
209,1,0.2602238126784276,6.590187273e-07,1.8395098500242089,0.3802335102315154,1.5961185057800331,25.0,5.0
210,1,0.267421850530316,9.298240004e-07,1.2266549198299594,0.4530823448668225,0.4953136773430621,25.0,5.0
211,1,0.3303174556243909,5.610864481e-07,1.0983450801700407,0.2458239051332258,1.7869245527510007,25.0,5.0
212,1,0.2523453598971044,1.5689227957e-06,1.80224596086276,0.176640625,0.35234375,25.0,5.0
213,1,0.4164128464033747,5.092959172e-07,0.4647528438342611,0.1890110056208205,0.575,25.0,5.0
214,1,0.361753783369499,6.490950899e-07,0.5848932292850889,0.31859375,1.0985961201266905,25.0,5.0
215,0,0.0,0.0,1.4880698914534616,0.2123358833183143,1.88125,25.0,5.0
216,1,0.4328217914907103,4.928986642e-07,0.585723598336741,0.1252652092229796,1.3692522294979033,25.0,5.0
217,1,0.4022506674202151,3.720536848e-07,0.6906271048723039,0.2537850845163533,1.8813558450012768,25.0,5.0
218,0,0.0,0.0,1.8291408356349848,0.24453125,1.7331148622017951,25.0,5.0
219,1,0.3031713536594448,6.580445174e-07,1.225552133116212,0.3731097389263851,1.5840726377982053,25.0,5.0
220,1,0.2343618888167482,7.844212399e-07,1.9778492555775125,0.3316877630962773,1.5829105729512565,25.0,5.0
221,1,0.4428402907671601,4.641752932e-07,0.4492117809776621,0.102578125,1.36171875,25.0,5.0
222,1,0.3536783880633337,4.966613528e-07,0.9375,0.275390625,1.06484375,25.0,5.0
223,1,0.3036907850640686,1.1573564398e-06,0.775,0.0888679631509195,0.6046874999999999,25.0,5.0
224,1,0.3216905403048122,5.693814031e-07,1.184733775852386,0.3310861676962941,1.0747417263911023,25.0,5.0
225,1,0.3185167455507216,8.083125988e-07,0.6267594558808738,0.3434388495745669,0.5184269611410859,25.0,5.0
226,1,0.3987029810101027,5.797710769e-07,0.585723598336741,0.102578125,1.3692522294979033,25.0,5.0
227,1,0.4228240352755684,4.892631489e-07,0.4312324613544779,0.1869083228264269,0.5512737992157994,25.0,5.0
228,1,0.3604123747845503,6.154102543e-07,0.4784289005122292,0.3239846618363057,1.943947973585329,25.0,5.0
229,1,0.30053668237012,7.957829389e-07,0.9045963484148928,0.4242965881636943,1.8941436241068117,25.0,5.0
230,1,0.3681171983064429,4.12929703e-07,0.938225771779834,0.275390625,1.7994724352803677,25.0,5.0
231,1,0.3380637386083654,5.676164396e-07,0.8944004797207241,0.3576245391988712,1.245631220386488,25.0,5.0
232,1,0.2681973636403139,6.763528538e-07,1.7077070851611291,0.4219804322798962,1.6275966255913836,25.0,5.0
233,1,0.3294043547667841,5.741547087e-07,0.921883657783364,0.3629064677072386,1.904187270098196,25.0,5.0
234,1,0.2830678434250507,8.292092225e-07,1.725,0.3507763922221971,1.1563567378405737,25.0,5.0
235,1,0.276347167305599,7.28070235e-07,1.5981247802045202,0.4076003125238425,1.1169168347148004,25.0,5.0
236,1,0.3297038982789164,5.249990549e-07,0.8951262515005581,0.350351193206108,1.794437523129043,25.0,5.0
237,1,0.4027449165004687,5.413980787e-07,0.585723598336741,0.1098515011321244,1.3692522294979033,25.0,5.0
238,1,0.2855613171837746,7.684491096e-07,0.8500000000000001,0.4079532494570666,1.086288148688911,25.0,5.0
239,1,0.2627071172882388,1.2039416997e-06,1.531905189316341,0.2250044091799451,0.359767894977517,25.0,5.0
240,1,0.2568892186765028,6.881110525e-07,1.8341050349574464,0.2748590416465336,1.8662946290312743,25.0,5.0
241,1,0.292834506091527,9.166843918e-07,0.9375,0.4240472083534665,1.0874344640440563,25.0,5.0
242,1,0.3444791698187793,7.333795519e-07,0.8500000000000001,0.1899215146923348,0.5597208527153953,25.0,5.0
243,1,0.4462793225345025,4.241729413e-07,0.4647528438342611,0.1984727223226224,0.4236574934065436,25.0,5.0
244,1,0.3366816808833897,5.11782153e-07,0.7281171003956125,0.3331440288231193,1.838508586440088,25.0,5.0
245,1,0.3185020658990582,6.519373007e-07,0.9109747800237687,0.3847914422186136,1.5856465530387074,25.0,5.0
246,1,0.4307838351333849,3.794636255e-07,0.6376337261100494,0.224776384036194,1.803436794670824,25.0,5.0
247,1,0.4328209739468619,5.160588417e-07,0.5995590168385974,0.1252652092229796,1.3692522294979033,25.0,5.0
248,1,0.4366105687917697,4.994429343e-07,0.6016577742020782,0.130753718151005,1.3963713391593275,25.0,5.0
249,1,0.3308052724713161,6.579899992e-07,1.0337041043083517,0.3565522434320495,1.2875,25.0,5.0
250,0,0.0,0.0,0.475,0.1897302545870066,1.4889307595332406,25.0,5.0
251,1,0.4440581650745957,3.540376667e-07,0.5244298135416275,0.2208280664945412,1.781803606598109,25.0,5.0
252,1,0.4324693661949963,3.852200792e-07,0.6274746696939245,0.2261379877842412,1.8801961036498984,25.0,5.0
253,1,0.36803041568705,6.227046594e-07,0.4375,0.3234040212519528,1.6611333394619388,25.0,5.0
254,1,0.2530700203036665,1.4546275933e-06,0.5174736409372098,0.0528740982334526,0.4802968720272137,25.0,5.0
255,1,0.3703488916238976,3.57882539e-07,0.8862245416130052,0.275390625,1.7994724352803677,25.0,5.0
256,1,0.3517971991252812,7.966912909e-07,0.8045499128365743,0.176640625,0.35234375,25.0,5.0
257,1,0.3164967794877304,5.818344912e-07,0.7424549926135594,0.3629064677072386,1.904187270098196,25.0,5.0
258,1,0.42007201231492,4.471379352e-07,0.629683442090981,0.2070610044690132,0.5041493054486037,25.0,5.0
259,1,0.3292558339038101,6.360893521e-07,1.197659687891182,0.3329171916363699,1.05,25.0,5.0
260,1,0.3462385182749781,5.528933743e-07,0.7065768309132028,0.3266609375524622,1.195180791276075,25.0,5.0
261,1,0.3864721484427142,4.28880444e-07,0.6707667187268933,0.2562698796706384,1.1236738985388186,25.0,5.0
262,1,0.4533064999210015,4.491972717e-07,0.4492117809776621,0.102578125,1.4113923437377007,25.0,5.0
263,1,0.3482899693082148,4.72639456e-07,0.910844467034468,0.3099345558870256,1.4608126540965312,25.0,5.0
264,1,0.4234941629353708,3.196082599e-07,0.6906271048723039,0.1994443589832219,1.88010409633743,25.0,5.0
