,Validity,hydralic_efficiency(-),Hemolysis_ratio(-),gap_width(mm),inner_disk_radius(mm),outer_disk_radius(mm),volute_constructor_parameter(-),volsp
69,1,0.3103124114049699,5.661135784e-07,1.7875,8.671875,46.9921875,0.201328125,0.44140625
70,1,0.1668296280333208,1.5001749597e-06,0.9875,13.671875,29.4921875,0.596328125,1.39140625
71,0,0.0,0.0,1.9875000000000005,14.921875,33.8671875,0.102578125,0.20390625
72,1,0.180816099645349,1.9479661039e-06,1.5875,7.421875,25.1171875,0.695078125,0.6789062499999999
73,1,0.3241228481820047,5.726300491e-07,0.7875000000000001,12.421875,42.6171875,0.300078125,1.62890625
74,0,0.0,0.0,0.6875,8.046875,27.3046875,0.053203125,1.03515625
75,1,0.2220725373224543,7.887524815e-07,1.4875000000000005,13.046875,44.8046875,0.448203125,1.98515625
76,0,0.0,0.0,1.8875,5.546875,18.5546875,0.250703125,1.51015625
77,1,0.1069945717718852,2.6112116447e-06,1.0875,10.546875,36.0546875,0.645703125,0.56015625
78,1,0.1356049477857269,3.4764696746e-06,0.8875000000000001,6.796875,49.1796875,0.744453125,0.32265625
79,1,0.2728695384122882,6.79094997e-07,1.6875,11.796875,31.6796875,0.349453125,1.27265625
80,1,0.2005991733412882,1.0789427341e-06,1.2875,9.296875,40.4296875,0.546953125,1.74765625
81,1,0.3819704190594081,4.931106782e-07,0.4625,6.328125,28.9453125,0.287734375,1.06484375
82,1,0.0901563766634597,2.7926388559e-06,1.2625000000000002,11.328125,46.4453125,0.682734375,0.11484375
83,1,0.2036727231291162,2.7260381516e-06,1.6625,8.828125,20.1953125,0.090234375,0.58984375
84,1,0.2048012527782201,1.1118618055e-06,0.8625,13.828125,37.6953125,0.4852343750000001,1.53984375
85,1,0.1754926276453233,1.2509331339e-06,1.0625,7.578125,42.0703125,0.583984375,1.77734375
86,1,0.264976796195461,1.595986133e-06,1.8625000000000005,12.578125,24.5703125,0.188984375,0.8273437499999999
87,1,0.1309214277773143,2.4584467458e-06,1.4625,5.078125,33.3203125,0.781484375,0.35234375
88,0,0.0,0.0,0.7625000000000001,9.453125,35.5078125,0.139609375,0.23359375
89,1,0.2646555256923233,4.931273699e-07,1.9625,6.953125,44.2578125,0.337109375,1.65859375
90,1,0.1185609523934404,3.2232804153e-06,1.1625,11.953125,26.7578125,0.7321093750000001,0.7085937499999999
91,1,0.1859239164734772,1.8191983357e-06,0.9625,5.703125,22.3828125,0.6333593750000001,0.94609375
92,1,0.2977452287748837,4.542597576e-07,1.7625000000000002,10.703125,39.8828125,0.238359375,1.89609375
93,1,0.271423391964015,8.318058588e-07,1.3625,8.203125,31.1328125,0.435859375,1.42109375
94,1,0.3707723843654093,9.793865587e-07,0.5625,13.203125,48.6328125,0.040859375,0.47109375
95,1,0.1615986829176947,4.2226105664e-06,0.5125000000000001,8.515625,19.1015625,0.756796875,1.59921875
96,1,0.277799612406097,6.548775616e-07,1.3125,13.515625,36.6015625,0.361796875,0.64921875
97,1,0.1836243894406377,1.247948039e-06,1.7125,6.015625,27.8515625,0.559296875,0.17421875
98,1,0.421769971669125,2.690979581e-07,0.9125,11.015625,45.3515625,0.164296875,1.12421875
99,0,0.0,0.0,1.1125,7.265625,40.9765625,0.065546875,1.36171875
100,1,0.2532582925981195,6.709074714e-07,1.7103662144554534,11.85662001160268,29.35446006564524,0.349453125,1.27265625
101,1,0.4032687761440562,4.391383684e-07,0.975,10.433702434957134,46.171875,0.09640625,1.608784599114487
102,0,0.0,0.0,0.6609720491031384,10.381647481508065,28.125,0.0993061373034725,0.3375
103,1,0.1730893491761364,1.243707337e-06,1.0625,7.578125,42.64759962914461,0.583984375,1.6803332975119876
104,1,0.0,0.0,1.775,14.635025911373766,23.126419724823407,0.49140625,0.7234375
105,1,0.3881738062231708,4.666979753e-07,0.7105612291796453,9.10708741093994,29.7371952498026,0.26921875,1.9703125
106,1,0.1951152659643524,1.5112313595e-06,0.95,12.172228850494509,40.15625,0.3636880283772975,0.159375
107,1,0.3544089832453626,3.714800703e-07,0.875,10.15625,30.859375,0.24453125,0.8421875
108,1,0.2028497776253707,2.7001417873e-06,0.8542828281157397,5.718382307622079,18.857005775036505,0.6378335020841143,1.5228034573041624
109,1,0.0,0.0,0.9582171718842604,7.797243235284106,16.475694403287783,0.1783383453373519,0.934052915447064
110,1,0.2652253523228985,7.868071209e-07,0.6468096574945478,6.161684116903355,38.2421875,0.398828125,1.86640625
111,1,0.1323726192782745,2.6604381531e-06,0.5906903425054523,6.572690883096644,33.59375,0.6765625000000001,1.703125
112,1,0.1379342204060206,2.0288214832e-06,0.5998570108174975,12.979174888660374,42.34375,0.7764151176518713,0.278125
113,1,0.2393902296855672,7.276694279e-07,1.862717721869072,8.817700049616358,39.3359375,0.4714894440208175,1.09453125
114,1,0.3580274861788983,4.616471894e-07,1.15,6.397457100575183,44.571379998014756,0.2321875,0.4935895416141333
115,1,0.4654722075467527,3.78129876e-07,0.525,7.34375,42.85049500198525,0.12109375,0.8528466836225366
116,0,0.0,0.0,1.001635474183816,6.368955455423968,17.639582886085698,0.176640625,1.56953125
117,1,0.3107379755632832,5.868821627e-07,1.0750000000000002,5.271680698817962,34.236005659573635,0.34328125,0.6046874999999999
118,1,0.4275197200972352,2.516267495e-07,0.8462921140230234,8.17404191787471,32.765440742927254,0.1915239296793771,1.916803041356958
119,1,0.0,0.0,1.178707885976984,12.919706088036397,20.750184538198532,0.1828125,1.4597480539442511
120,1,0.1251065962893706,2.7063068955e-06,0.6687120601913098,6.297955282196956,34.12525094217958,0.6765625000000001,1.739475607572205
121,1,0.3466010489931576,4.902322194e-07,1.1312879424345637,6.218321134384937,45.56370687060084,0.2321875,0.396875
122,1,0.1925658438823697,1.3638864602e-06,0.5229850268146846,7.135438778754758,34.96094150495156,0.472890625,0.6282066429009903
123,1,0.2216265415413109,1.0395414317e-06,1.6648872730542754,9.6875,31.40624599504844,0.5284375,0.8631996070990096
124,1,0.3771772875327582,5.111492645e-07,0.5,14.542039427090343,34.6875,0.256875,1.2980254740069723
125,0,0.0,0.0,1.9875000000000005,14.44321025706377,34.81079059825812,0.0282432676283678,0.186356035816362
126,1,0.3477074398022589,3.781175238e-07,1.175,13.328576186860243,32.44136833991177,0.2739413095613855,1.9109375
127,1,0.2979623928995783,1.3876168508e-06,1.0750000000000002,6.3658873728003975,18.3401570946185,0.3496474938750315,0.6046874999999999
128,1,0.3165432984996244,5.735863702e-07,0.7875000000000001,12.36717576421586,42.6171875,0.3010292301001467,1.1728221837610802
129,1,0.2620703865526749,6.672548312e-07,0.7000000000000001,8.125,47.8125,0.3546738948998533,1.62483406622956
130,1,0.2184828061687689,2.0128638316e-06,1.825,6.71875,31.953125,0.07171875,0.5297472689134587
131,1,0.2563355468366743,8.001611807e-07,1.3625,8.203125,32.85447242102968,0.435859375,1.42109375
132,1,0.3502384457348817,3.332747612e-07,0.975,9.71828635306928,46.171875,0.254710034208429,1.357828330959428
133,1,0.4508821692981659,4.132033723e-07,0.5,14.433616982523407,34.6875,0.0985712161928098,1.67721625831443
134,1,0.2968632261513204,5.227943617e-07,1.247413602053772,5.270372099898609,29.146483615537804,0.3843275481418827,1.65859375
135,1,0.2585070576052003,5.616022359e-07,1.9770076002463264,6.995363559502136,44.330077137319776,0.3330943268581174,0.990625
136,1,0.2736276759240721,6.007200297e-07,1.9427587895699228,13.59375,47.265625,0.21984375,1.0808092742583075
137,1,0.2405192070976478,2.2473967777e-06,0.5375000000000001,10.21828703644655,21.37070243729223,0.423515625,0.26328125
138,1,0.2800739751147227,6.610632412e-07,1.375,7.03125,36.0070646209258,0.2960294603581271,0.2223550835691318
139,1,0.2108912368974687,9.266753349e-07,1.5394096964918895,6.5314056254583335,47.039778677054734,0.5016267896418743,1.6049959934905065
140,1,0.2032522985911232,1.1974090321e-06,0.7240999305817839,13.828125,37.6953125,0.4852343750000001,1.7234053856493643
141,1,0.4097797585628833,7.361830542e-07,0.6433517993357617,8.858611604852463,23.203125,0.26921875,1.9703125
142,0,0.0,0.0,1.9806819835947336,14.375,39.04221392854969,0.1592350573794922,1.3701530179097636
143,1,0.3954641909031527,4.316169153e-07,0.4302845291897212,5.625,34.40671764294121,0.2557649426205081,0.7298469820902366
144,1,0.3852146249664479,8.559362662e-07,0.6185710857870548,11.098108873118516,28.124099802384112,0.12059432386311,0.3375
145,1,0.194776618127574,1.8299737945e-06,1.7644181377664696,14.53125,28.672775197615888,0.49140625,0.7234375
146,1,0.1698337726468828,2.0433343991e-06,0.4586789995975598,6.567693533459188,31.953125,0.7689282746756849,1.9319942232751008
147,1,0.2911443314241388,6.473185853e-07,1.8201228979573048,10.463556813704248,49.543980680257604,0.1920387625771769,0.550843868011385
148,1,0.300725539153905,7.820018191e-07,1.2375,13.984375,45.41428983061294,0.1627940590740805,0.38203125
149,1,0.3419653961638208,4.92770566e-07,0.8592733058638445,11.015625,26.14813742843229,0.2768934409259221,1.1518602968046137
150,1,0.2874245014973686,9.309376804e-07,1.898720623580352,5.625,39.0625,0.158125,0.69375
151,1,0.1752056058685596,1.791821686e-06,0.6756709677205579,13.90625,43.984375,0.54078125,0.1296875
152,1,0.2763152927127174,4.951709093e-07,1.786983544329773,8.768270189809265,47.00826167402813,0.3492488682380819,1.27265625
153,1,0.2389835558290512,1.2642324763e-06,1.6880164556702273,11.700479810188707,31.663423911945216,0.2015323817619221,0.44140625
154,1,0.20522806228341,1.3389614809e-06,0.4564691909106132,7.65625,40.120356237384016,0.5654006370173367,0.3671875
155,1,0.2491737276372242,8.915357273e-07,0.8435709510937195,5.46875,34.541234667073816,0.4420993629826634,1.4799342888731148
156,1,0.0847978486489503,2.9844531917e-06,0.7469480866704086,10.3125,46.71875,0.7753125000000001,1.955374935851592
157,1,0.1393647077937188,3.6486715308e-06,0.4780633699999353,5.462697025339825,24.296875,0.7876562500000001,1.4207568591238615
158,1,0.1496022366888969,1.9759532602e-06,1.4625,5.078125,33.614909546851976,0.781484375,1.1333752138493014
159,1,0.2693978987847077,6.617349024e-07,1.9642399382706224,13.59375,46.97087517941208,0.2268218358031855,0.4384624184127832
160,1,0.2778715948625776,1.1144961008e-06,1.8781814594471564,9.21875,23.203125,0.26921875,1.5944072429860583
161,1,0.1465614696026625,2.4043761303e-06,0.4869551459398919,11.40625,35.234375,0.7530292291925821,1.951441498766812
162,1,0.3241228481820047,5.726300491e-07,0.7875000000000001,12.421875,42.6171875,0.300078125,1.62890625
163,1,0.4247598638946635,2.604622557e-07,0.9125,11.015625,46.869364909937616,0.164296875,1.12421875
164,1,0.3548817178593437,3.755797739e-07,0.8728980098806205,10.15625,30.859375,0.24453125,0.8421875
